count,date_mutation,valeur_fonciere
72436,2019-07-31,3440364.950613645
38453,2019-08-31,346782.8463443684
53891,2019-09-30,728978.2331387431
58990,2019-10-31,1830552.230958976
47063,2019-11-30,1395434.759258441
76843,2019-12-31,4219972.06730047
46894,2020-01-31,775935.3016914743
46486,2020-02-29,485591.97430237057
34873,2020-03-31,1792730.747978952
19098,2020-04-30,1543523.1759095194
48351,2020-05-31,449615.9658894335
56249,2020-06-30,629587.4091663851
52075,2020-07-31,1259157.4582792127
32735,2020-08-31,736504.8545315411
54722,2020-09-30,428026.30153557984
57026,2020-10-31,673431.7282353663
47897,2020-11-30,824608.707547028
79008,2020-12-31,7605402.955794604
43623,2021-01-31,685513.7027221879
41536,2021-02-28,427893.5935687115
52758,2021-03-31,867321.9749448425
51188,2021-04-30,530245.2503555521
54510,2021-05-31,7638814.38671253
68086,2021-06-30,740556.098840584
78349,2021-07-31,24075590.476266704
41320,2021-08-31,353489.098410697
61718,2021-09-30,400176.4210713245
55076,2021-10-31,665337.4905309029
46579,2021-11-30,660710.2352454968
76919,2021-12-31,9261017.29208245
44577,2022-01-31,582780.9596884043
46889,2022-02-28,1240441.5218345455
56658,2022-03-31,461219.0473465354
50412,2022-04-30,513100.5236058875
54859,2022-05-31,394578.6786091616
67441,2022-06-30,3915137.17487211
62338,2022-07-31,699879.8925637653
40350,2022-08-31,343504.6382490706
61207,2022-09-30,2075026.9428772852
47284,2022-10-31,458412.8987583538
44257,2022-11-30,513178.6506961611
77772,2022-12-31,59944996.55004372
40153,2023-01-31,1161054.4012888202
39043,2023-02-28,381813.7249829675
47456,2023-03-31,546071.3679753877
37156,2023-04-30,452459.34001937776
41046,2023-05-31,349366.99709179945
50549,2023-06-30,421661.094069121
48852,2023-07-31,539244.4568793499
30770,2023-08-31,456973.9477279818
42237,2023-09-30,367153.9010661268
39897,2023-10-31,743361.5327819134
33399,2023-11-30,960022.966287314
52723,2023-12-31,3975695.18719041
29664,2024-01-31,844543.723118932
30059,2024-02-29,848781.638255431
34967,2024-03-31,772126.2860988933
33751,2024-04-30,992087.345216438
31759,2024-05-31,360232.1301313013
38771,2024-06-30,1123205.7468373268
