code,nom_commune,valeur_fonciere
1001,L'Abergement-Clémenciat,322792.9345794392
1002,L'Abergement-de-Varey,223171.875
1004,Ambérieu-en-Bugey,291885.92832088086
1005,Ambérieux-en-Dombes,535860.6207282913
1006,Ambléon,165798.86363636365
1007,Ambronay,206513.54197952218
1008,Ambutrix,209604.8
1009,Andert-et-Condon,224334.2131147541
1010,Anglefort,193791.28169014084
1011,Apremont,172175.55575757576
1012,Aranc,165379.85185185185
1013,Arandas,106448.21428571429
1014,Arbent,373120.5428571428
1015,Arboys en Bugey,223564.90000000002
1016,Arbigny,170112.04545454544
1017,Argis,90689.84014492753
1019,Armix,70000.0
1021,Ars-sur-Formans,305867.7948717949
1022,Artemare,163385.95445714286
1023,Asnières-sur-Saône,101000.0
1024,Attignat,292316.17131264915
1025,Bâgé-Dommartin,233995.33776960784
1026,Bâgé-le-Châtel,188139.80357142858
1027,Balan,280786.6695121951
1028,Baneins,293032.1153846154
1029,Beaupont,184164.24210526317
1030,Beauregard,197190.38036809815
1031,Bellignat,150141.38302752294
1032,Béligneux,2194891.546270492
1033,Valserhône,365864.76975338755
1034,Belley,191459.2772477064
1035,Belleydoux,163456.75675675675
1036,Valromey-sur-Séran,197866.37573604062
1037,Bénonces,133345.53191489363
1038,Bény,209059.10891089108
1040,Béréziat,179426.0696875
1041,Bettant,426652.1779141104
1042,Bey,319605.3142857143
1043,Beynost,406194.7898195489
1044,Billiat,320776.1
1045,Birieux,283883.1034482759
1046,Biziat,251231.43631578947
1047,Blyes,349427.2703448276
1049,La Boisse,359271.9471428572
1050,Boissey,220120.18181818182
1051,Bolozon,114564.66666666667
1052,Bouligneux,406151.4285714286
1053,Bourg-en-Bresse,228889.70188639476
1054,Bourg-Saint-Christophe,305283.00544776116
1056,Boyeux-Saint-Jérôme,111771.88775510204
1057,Boz,211070.93220338982
1058,Brégnier-Cordon,170754.9290780142
1060,Brénod,174559.67901234567
1061,Brens,266975.97122302157
1062,Bressolles,471890.2708910891
1063,Brion,213780.90566037735
1064,Briord,209375.9220779221
1065,Buellas,319561.370106383
1066,La Burbanche,103600.0
1067,Ceignes,200961.53846153847
1068,Cerdon,133200.42741935485
1069,Certines,272097.31594999996
1071,Cessy,1304580.591290107
1072,Ceyzériat,258055.78987421383
1073,Ceyzérieu,228712.48188405798
1074,Chalamont,209682.3919708029
1075,Chaleins,297553.7041860465
1076,Chaley,81874.0303030303
1077,Challes-la-Montagne,182200.0
1078,Challex,446665.1581196581
1079,Champagne-en-Valromey,148963.01439252336
1080,Champdor-Corcelles,145688.0
1081,Champfromier,209795.69692307693
1082,Chanay,180754.8875
1083,Chaneins,355938.1780821918
1084,Chanoz-Châtenay,223064.82211538462
1085,La Chapelle-du-Châtelard,245326.11764705883
1087,Charix,161677.4193548387
1088,Charnoz-sur-Ain,271422.7586206897
1089,Château-Gaillard,305568.8716417911
1090,Châtenay,320147.9024390244
1092,Châtillon-la-Palud,266038.7916666667
1093,Châtillon-sur-Chalaronne,323047.7813421342
1094,Chavannes-sur-Reyssouze,206500.40625
1095,Nivigne et Suran,177856.77083333334
1096,Chaveyriat,207051.23266666668
1098,Chazey-Bons,246333.16326530612
1099,Chazey-sur-Ain,255210.78723404257
1100,Cheignieu-la-Balme,145310.7142857143
1101,Chevillard,185146.875
1102,Chevroux,215973.8383838384
1103,Chevry,444701.83811926603
1104,Chézery-Forens,222238.63199999998
1105,Civrieux,367800.6991372549
1106,Cize,176197.5806451613
1107,Cleyzieu,129160.76923076923
1108,Coligny,172681.44139072846
1109,Collonges,373906.7115978456
1110,Colomieu,163200.0
1111,Conand,124943.33333333333
1112,Condamine,199888.88888888888
1113,Condeissiat,218151.44578313254
1114,Confort,276542.24784313724
1115,Confrançon,244990.202166065
1116,Contrevoz,187156.95652173914
1117,Conzieu,318400.0
