date_mutation,valeur_fonciere
2019-07-31,347861.9807646101
2019-08-31,246931.17987691428
2019-09-30,356640.432916714
2019-10-31,355817.769428532
2019-11-30,275407.47543749877
2019-12-31,564905.9638864623
2020-01-31,262015.47171044064
2020-02-29,246924.2939183452
2020-03-31,256432.73733410976
2020-04-30,278286.68482910364
2020-05-31,239760.38454279953
2020-06-30,255018.66955099834
2020-07-31,291025.371466014
2020-08-31,277712.39470469166
2020-09-30,267762.75876432046
2020-10-31,283505.8198316728
2020-11-30,294961.2312277498
2020-12-31,828439.9071474868
2021-01-31,285910.01723592833
2021-02-28,262994.71169523406
2021-03-31,295622.63768196426
2021-04-30,282673.1070459715
2021-05-31,1132665.18388246
2021-06-30,298755.1065373466
2021-07-31,2937991.9284202876
2021-08-31,278745.3937749602
2021-09-30,303445.21445770445
2021-10-31,304683.58147281926
2021-11-30,308363.7420953554
2021-12-31,1677304.4238926102
2022-01-31,317458.0232991158
2022-02-28,293322.6730786163
2022-03-31,295581.9992689575
2022-04-30,301020.30264389614
2022-05-31,292806.46600903117
2022-06-30,661303.7842357263
2022-07-31,330511.1400838822
2022-08-31,298289.86530654354
2022-09-30,325325.80864358635
2022-10-31,330901.51692113036
2022-11-30,322285.2789413743
2022-12-31,5058941.228828461
2023-01-31,328056.15828756447
2023-02-28,300992.182947076
2023-03-31,306029.99537668517
2023-04-30,316247.36482598115
2023-05-31,282355.96266004007
2023-06-30,321752.48929257673
2023-07-31,326376.4721799204
2023-08-31,296061.97249559325
2023-09-30,292289.9795916873
2023-10-31,305964.84526811104
2023-11-30,277293.70268223534
2023-12-31,512103.4230631063
2024-01-31,303047.5134905557
2024-02-29,286461.46743366035
2024-03-31,282375.01982078183
2024-04-30,299571.28125158476
2024-05-31,277617.1071992318
2024-06-30,309173.05969140417
