date_mutation,valeur_fonciere
2019-07-31,1742554.2831028178
2019-08-31,303367.08744274784
2019-09-30,614753.3569959352
2019-10-31,1221223.8611939165
2019-11-30,935927.6617575436
2019-12-31,2677578.378921801
2020-01-31,641886.2961259397
2020-02-29,436435.9819692184
2020-03-31,1057750.6453251645
2020-04-30,1272097.42618753
2020-05-31,347268.6388814306
2020-06-30,571055.8406107761
2020-07-31,884356.2823021843
2020-08-31,435973.014139597
2020-09-30,436414.4757899487
2020-10-31,565652.2661025962
2020-11-30,664207.0524878463
2020-12-31,4038688.209078874
2021-01-31,537010.9777093221
2021-02-28,367527.25244097726
2021-03-31,672639.3097148765
2021-04-30,474790.0535469964
2021-05-31,4672550.52275834
2021-06-30,535537.3988962058
2021-07-31,12996147.522233646
2021-08-31,325041.83503672987
2021-09-30,391959.3137100041
2021-10-31,676117.7320175004
2021-11-30,553802.3406779935
2021-12-31,5591774.521926749
2022-01-31,523110.15240333526
2022-02-28,880680.0687405878
2022-03-31,445638.3304551072
2022-04-30,504511.86501462903
2022-05-31,386987.881214369
2022-06-30,2110806.003738289
2022-07-31,734770.7895689723
2022-08-31,338637.66295731463
2022-09-30,1188022.7010021226
2022-10-31,433192.6564290811
2022-11-30,504750.1559759183
2022-12-31,34630817.561118096
2023-01-31,879176.7691233949
2023-02-28,379358.0589836873
2023-03-31,575692.6815588236
2023-04-30,455970.66754842695
2023-05-31,382924.81745267316
2023-06-30,490398.07481828553
2023-07-31,489276.4334386342
2023-08-31,517119.6490045972
2023-09-30,356358.6635743101
2023-10-31,592318.6800385688
2023-11-30,659824.2786848886
2023-12-31,2312332.05659342
2024-01-31,634280.3522010645
2024-02-29,573498.5656314446
2024-03-31,578725.7389171637
2024-04-30,734646.9023489649
2024-05-31,418933.6403310921
2024-06-30,833884.0157836189
